original_image,variant_image,transformation
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/contrasted.png,contrast_1.5x
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/filtered.png,edge_filter
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/channel_shifted.png,channel_shift_1
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/cropped10.png,cropped_10%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/cropped20.png,cropped_20%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/cropped30.png,cropped_30%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/quality_adjusted_20.jpg,quality_20%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/quality_adjusted_50.jpg,quality_50%
images/cho-shiba-mau-nau.png,images_variants/cho-shiba-mau-nau/quality_adjusted_80.jpg,quality_80%
images/corgi.jpg,images_variants/corgi/altered.png,altered_20%
images/corgi.jpg,images_variants/corgi/grayscale.png,grayscale
images/corgi.jpg,images_variants/corgi/covered.png,covered_30%
images/corgi.jpg,images_variants/corgi/dropout.png,grid_dropout_20%
images/corgi.jpg,images_variants/corgi/blurred.png,blur_radius_2
images/corgi.jpg,images_variants/corgi/brightened.png,brightened_1.5x
images/corgi.jpg,images_variants/corgi/darkened.png,darkened_0.5x
images/corgi.jpg,images_variants/corgi/resized.png,resized_50%
images/corgi.jpg,images_variants/corgi/resized_up.png,resized_up_200%
images/corgi.jpg,images_variants/corgi/contrasted.png,contrast_1.5x
images/corgi.jpg,images_variants/corgi/filtered.png,edge_filter
images/corgi.jpg,images_variants/corgi/channel_shifted.png,channel_shift_1
images/corgi.jpg,images_variants/corgi/cropped10.png,cropped_10%
images/corgi.jpg,images_variants/corgi/cropped20.png,cropped_20%
images/corgi.jpg,images_variants/corgi/cropped30.png,cropped_30%
images/corgi.jpg,images_variants/corgi/quality_adjusted_20.jpg,quality_20%
images/corgi.jpg,images_variants/corgi/quality_adjusted_50.jpg,quality_50%
images/corgi.jpg,images_variants/corgi/quality_adjusted_80.jpg,quality_80%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/altered.png,altered_20%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/grayscale.png,grayscale
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/covered.png,covered_30%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/dropout.png,grid_dropout_20%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/blurred.png,blur_radius_2
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/brightened.png,brightened_1.5x
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/darkened.png,darkened_0.5x
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/resized.png,resized_50%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/resized_up.png,resized_up_200%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/contrasted.png,contrast_1.5x
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/filtered.png,edge_filter
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/channel_shifted.png,channel_shift_1
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/cropped10.png,cropped_10%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/cropped20.png,cropped_20%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/cropped30.png,cropped_30%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/quality_adjusted_20.jpg,quality_20%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/quality_adjusted_50.jpg,quality_50%
images/db10fa12e5d8164680ffd17b1b64fc1f.jpg,images_variants/db10fa12e5d8164680ffd17b1b64fc1f/quality_adjusted_80.jpg,quality_80%
images/dragon-bridge.png,images_variants/dragon-bridge/altered.png,altered_20%
images/dragon-bridge.png,images_variants/dragon-bridge/grayscale.png,grayscale
images/dragon-bridge.png,images_variants/dragon-bridge/covered.png,covered_30%
images/dragon-bridge.png,images_variants/dragon-bridge/dropout.png,grid_dropout_20%
images/dragon-bridge.png,images_variants/dragon-bridge/blurred.png,blur_radius_2
images/dragon-bridge.png,images_variants/dragon-bridge/brightened.png,brightened_1.5x
images/dragon-bridge.png,images_variants/dragon-bridge/darkened.png,darkened_0.5x
images/dragon-bridge.png,images_variants/dragon-bridge/resized.png,resized_50%
images/dragon-bridge.png,images_variants/dragon-bridge/resized_up.png,resized_up_200%
images/dragon-bridge.png,images_variants/dragon-bridge/contrasted.png,contrast_1.5x
images/dragon-bridge.png,images_variants/dragon-bridge/filtered.png,edge_filter
images/dragon-bridge.png,images_variants/dragon-bridge/channel_shifted.png,channel_shift_1
images/dragon-bridge.png,images_variants/dragon-bridge/cropped10.png,cropped_10%
images/dragon-bridge.png,images_variants/dragon-bridge/cropped20.png,cropped_20%
images/dragon-bridge.png,images_variants/dragon-bridge/cropped30.png,cropped_30%
images/dragon-bridge.png,images_variants/dragon-bridge/quality_adjusted_20.jpg,quality_20%
images/dragon-bridge.png,images_variants/dragon-bridge/quality_adjusted_50.jpg,quality_50%
images/dragon-bridge.png,images_variants/dragon-bridge/quality_adjusted_80.jpg,quality_80%
images/golden_bridge.webp,images_variants/golden_bridge/altered.png,altered_20%
images/golden_bridge.webp,images_variants/golden_bridge/grayscale.png,grayscale
images/golden_bridge.webp,images_variants/golden_bridge/covered.png,covered_30%
images/golden_bridge.webp,images_variants/golden_bridge/dropout.png,grid_dropout_20%
images/golden_bridge.webp,images_variants/golden_bridge/blurred.png,blur_radius_2
images/golden_bridge.webp,images_variants/golden_bridge/brightened.png,brightened_1.5x
images/golden_bridge.webp,images_variants/golden_bridge/darkened.png,darkened_0.5x
images/golden_bridge.webp,images_variants/golden_bridge/resized.png,resized_50%
images/golden_bridge.webp,images_variants/golden_bridge/resized_up.png,resized_up_200%
images/golden_bridge.webp,images_variants/golden_bridge/contrasted.png,contrast_1.5x
images/golden_bridge.webp,images_variants/golden_bridge/filtered.png,edge_filter
images/golden_bridge.webp,images_variants/golden_bridge/channel_shifted.png,channel_shift_1
images/golden_bridge.webp,images_variants/golden_bridge/cropped10.png,cropped_10%
images/golden_bridge.webp,images_variants/golden_bridge/cropped20.png,cropped_20%
images/golden_bridge.webp,images_variants/golden_bridge/cropped30.png,cropped_30%
images/golden_bridge.webp,images_variants/golden_bridge/quality_adjusted_20.jpg,quality_20%
images/golden_bridge.webp,images_variants/golden_bridge/quality_adjusted_50.jpg,quality_50%
images/golden_bridge.webp,images_variants/golden_bridge/quality_adjusted_80.jpg,quality_80%
images/images.jpg,images_variants/images/altered.png,altered_20%
images/images.jpg,images_variants/images/grayscale.png,grayscale
images/images.jpg,images_variants/images/covered.png,covered_30%
images/images.jpg,images_variants/images/dropout.png,grid_dropout_20%
images/images.jpg,images_variants/images/blurred.png,blur_radius_2
images/images.jpg,images_variants/images/brightened.png,brightened_1.5x
images/images.jpg,images_variants/images/darkened.png,darkened_0.5x
images/images.jpg,images_variants/images/resized.png,resized_50%
images/images.jpg,images_variants/images/resized_up.png,resized_up_200%
images/images.jpg,images_variants/images/contrasted.png,contrast_1.5x
images/images.jpg,images_variants/images/filtered.png,edge_filter
images/images.jpg,images_variants/images/channel_shifted.png,channel_shift_1
images/images.jpg,images_variants/images/cropped10.png,cropped_10%
images/images.jpg,images_variants/images/cropped20.png,cropped_20%
images/images.jpg,images_variants/images/cropped30.png,cropped_30%
images/images.jpg,images_variants/images/quality_adjusted_20.jpg,quality_20%
images/images.jpg,images_variants/images/quality_adjusted_50.jpg,quality_50%
images/images.jpg,images_variants/images/quality_adjusted_80.jpg,quality_80%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/altered.png,altered_20%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/grayscale.png,grayscale
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/covered.png,covered_30%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/dropout.png,grid_dropout_20%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/blurred.png,blur_radius_2
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/brightened.png,brightened_1.5x
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/darkened.png,darkened_0.5x
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/resized.png,resized_50%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/resized_up.png,resized_up_200%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/contrasted.png,contrast_1.5x
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/filtered.png,edge_filter
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/channel_shifted.png,channel_shift_1
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/cropped10.png,cropped_10%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/cropped20.png,cropped_20%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/cropped30.png,cropped_30%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/quality_adjusted_20.jpg,quality_20%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/quality_adjusted_50.jpg,quality_50%
images/IMG_5480-1-960x600.jpeg,images_variants/IMG_5480-1-960x600/quality_adjusted_80.jpg,quality_80%
images/shiba-da-nang.png,images_variants/shiba-da-nang/altered.png,altered_20%
images/shiba-da-nang.png,images_variants/shiba-da-nang/grayscale.png,grayscale
images/shiba-da-nang.png,images_variants/shiba-da-nang/covered.png,covered_30%
images/shiba-da-nang.png,images_variants/shiba-da-nang/dropout.png,grid_dropout_20%
images/shiba-da-nang.png,images_variants/shiba-da-nang/blurred.png,blur_radius_2
images/shiba-da-nang.png,images_variants/shiba-da-nang/brightened.png,brightened_1.5x
images/shiba-da-nang.png,images_variants/shiba-da-nang/darkened.png,darkened_0.5x
images/shiba-da-nang.png,images_variants/shiba-da-nang/resized.png,resized_50%
images/shiba-da-nang.png,images_variants/shiba-da-nang/resized_up.png,resized_up_200%
images/shiba-da-nang.png,images_variants/shiba-da-nang/contrasted.png,contrast_1.5x
images/shiba-da-nang.png,images_variants/shiba-da-nang/filtered.png,edge_filter
images/shiba-da-nang.png,images_variants/shiba-da-nang/channel_shifted.png,channel_shift_1
images/shiba-da-nang.png,images_variants/shiba-da-nang/cropped10.png,cropped_10%
images/shiba-da-nang.png,images_variants/shiba-da-nang/cropped20.png,cropped_20%
images/shiba-da-nang.png,images_variants/shiba-da-nang/cropped30.png,cropped_30%
images/shiba-da-nang.png,images_variants/shiba-da-nang/quality_adjusted_20.jpg,quality_20%
images/shiba-da-nang.png,images_variants/shiba-da-nang/quality_adjusted_50.jpg,quality_50%
images/shiba-da-nang.png,images_variants/shiba-da-nang/quality_adjusted_80.jpg,quality_80%
images/Shiba.jpg,images_variants/Shiba/altered.png,altered_20%
images/Shiba.jpg,images_variants/Shiba/grayscale.png,grayscale
images/Shiba.jpg,images_variants/Shiba/covered.png,covered_30%
images/Shiba.jpg,images_variants/Shiba/dropout.png,grid_dropout_20%
images/Shiba.jpg,images_variants/Shiba/blurred.png,blur_radius_2
images/Shiba.jpg,images_variants/Shiba/brightened.png,brightened_1.5x
images/Shiba.jpg,images_variants/Shiba/darkened.png,darkened_0.5x
images/Shiba.jpg,images_variants/Shiba/resized.png,resized_50%
images/Shiba.jpg,images_variants/Shiba/resized_up.png,resized_up_200%
images/Shiba.jpg,images_variants/Shiba/contrasted.png,contrast_1.5x
images/Shiba.jpg,images_variants/Shiba/filtered.png,edge_filter
images/Shiba.jpg,images_variants/Shiba/channel_shifted.png,channel_shift_1
images/Shiba.jpg,images_variants/Shiba/cropped10.png,cropped_10%
images/Shiba.jpg,images_variants/Shiba/cropped20.png,cropped_20%
images/Shiba.jpg,images_variants/Shiba/cropped30.png,cropped_30%
images/Shiba.jpg,images_variants/Shiba/quality_adjusted_20.jpg,quality_20%
images/Shiba.jpg,images_variants/Shiba/quality_adjusted_50.jpg,quality_50%
images/Shiba.jpg,images_variants/Shiba/quality_adjusted_80.jpg,quality_80%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/altered.png,altered_20%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/grayscale.png,grayscale
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/covered.png,covered_30%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/dropout.png,grid_dropout_20%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/blurred.png,blur_radius_2
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/brightened.png,brightened_1.5x
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/darkened.png,darkened_0.5x
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/resized.png,resized_50%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/resized_up.png,resized_up_200%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/contrasted.png,contrast_1.5x
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/filtered.png,edge_filter
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/channel_shifted.png,channel_shift_1
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/cropped10.png,cropped_10%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/cropped20.png,cropped_20%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/cropped30.png,cropped_30%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/quality_adjusted_20.jpg,quality_20%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/quality_adjusted_50.jpg,quality_50%
images/threecolorcorgi.jpg,images_variants/threecolorcorgi/quality_adjusted_80.jpg,quality_80%
